iter	Logloss
0	0.6127184991
1	0.5479164688
2	0.4933676159
3	0.4474451052
4	0.4085278306
5	0.3748973531
6	0.3459474296
7	0.3206863661
8	0.2990529903
9	0.2807805126
10	0.2638522572
11	0.2494524016
12	0.2364955569
13	0.2252927524
14	0.2150429061
15	0.2061199256
16	0.1981940369
17	0.1913149549
18	0.1850380014
19	0.1794592383
20	0.1753363655
21	0.171098974
22	0.1671147949
23	0.1641512136
24	0.1607530272
25	0.1579333139
26	0.1556580234
27	0.1534091064
28	0.1513293663
29	0.1494524255
30	0.1476408431
31	0.1460531616
32	0.1448250007
33	0.1434009766
34	0.1423175017
35	0.1414650909
36	0.140500941
37	0.1399542375
38	0.1393324235
39	0.1385883738
40	0.1381091145
41	0.1377705775
42	0.1371326185
43	0.1369588241
44	0.1363627284
45	0.135885146
46	0.1354406714
47	0.135053709
48	0.1346941128
49	0.1345559881
50	0.1342486413
51	0.1339237829
52	0.1338398657
53	0.1335645304
54	0.1333059855
55	0.1330725808
56	0.1329312507
57	0.1327907874
58	0.1326225107
59	0.1325205066
60	0.1323228906
61	0.1322137727
62	0.132041275
63	0.1318235732
64	0.131691764
65	0.1315355186
66	0.1314519544
67	0.1312557663
68	0.1311781548
69	0.1310903816
70	0.1309507797
71	0.1307306528
72	0.1305723721
73	0.1304694915
74	0.1303899425
75	0.1301983241
76	0.1301213311
77	0.1300351941
78	0.1298885735
79	0.1298314495
80	0.1297568547
81	0.1295949389
82	0.1294939037
83	0.1293757224
84	0.1292894133
85	0.1291849426
86	0.1290527566
87	0.1289557458
88	0.1288640949
89	0.128782849
90	0.12864419
91	0.1286052631
92	0.1285393594
93	0.1284531554
94	0.1283738422
95	0.1282964998
96	0.128155139
97	0.1280575558
98	0.1279719442
99	0.1278979399
100	0.1278250689
101	0.1277957039
102	0.1277388462
103	0.1276542201
104	0.1275577764
105	0.1274965471
106	0.127405538
107	0.1273650624
108	0.1273018074
109	0.1271449055
110	0.1269947037
111	0.1268880355
112	0.1268035196
113	0.126759762
114	0.1267089314
115	0.1266512409
116	0.1265644944
117	0.1264544885
118	0.1264086681
119	0.1263084579
120	0.1262337921
121	0.1261512408
122	0.126068427
123	0.1260216635
124	0.1258940984
125	0.125827267
126	0.125774586
127	0.125720616
128	0.1256194141
129	0.1255792213
130	0.1254712129
131	0.1254015407
132	0.1253425596
133	0.1252493437
134	0.1251592868
135	0.1250702841
136	0.1250205274
137	0.124938592
138	0.1248948616
139	0.12483267
140	0.1247532065
141	0.1247170997
142	0.1246736007
143	0.1245606026
144	0.1244001356
145	0.1243202159
146	0.1242502072
147	0.1242236957
148	0.1241194514
149	0.1240826421
