iter	Passed	Remaining
0	140	20901
1	141	10503
2	143	7035
3	145	5298
4	146	4254
5	148	3561
6	149	3062
7	151	2690
8	153	2405
9	155	2173
10	156	1982
11	158	1822
12	160	1687
13	161	1569
14	163	1469
15	164	1381
16	166	1301
17	168	1232
18	170	1173
19	171	1117
20	173	1066
21	175	1019
22	176	976
23	178	936
24	180	900
25	181	866
26	183	835
27	185	806
28	186	779
29	188	754
30	190	730
31	191	707
32	193	685
33	195	665
34	196	647
35	198	628
36	200	611
37	201	595
38	203	579
39	205	564
40	207	550
41	208	537
42	210	523
43	212	510
44	213	498
45	215	487
46	217	476
47	218	465
48	220	454
49	222	444
50	223	434
51	225	424
52	226	415
53	228	407
54	230	398
55	232	390
56	233	381
57	235	373
58	237	365
59	238	358
60	240	350
61	242	343
62	243	336
63	245	330
64	247	323
65	249	317
66	250	310
67	252	304
68	254	298
69	255	292
70	257	286
71	259	281
72	261	275
73	262	269
74	264	264
75	266	259
76	268	254
77	269	249
78	271	244
79	273	239
80	274	234
81	276	229
82	278	224
83	279	219
84	281	215
85	282	210
86	284	205
87	286	201
88	287	197
89	289	192
90	290	188
91	292	184
92	294	180
93	295	176
94	297	172
95	299	168
96	300	164
97	302	160
98	304	156
99	305	152
100	307	149
101	309	145
102	310	141
103	312	138
104	314	134
105	316	131
106	318	127
107	320	124
108	321	121
109	323	117
110	325	114
111	326	110
112	328	107
113	331	104
114	332	101
115	334	97
116	335	94
117	337	91
118	339	88
119	340	85
120	342	82
121	344	78
122	346	75
123	347	72
124	349	69
125	350	66
126	352	63
127	354	60
128	355	57
129	357	54
130	358	52
131	360	49
132	362	46
133	363	43
134	365	40
135	366	37
136	368	34
137	369	32
138	371	29
139	372	26
140	374	23
141	375	21
142	377	18
143	379	15
144	380	13
145	382	10
146	384	7
147	385	5
148	387	2
149	388	0
