iter	Logloss
0	0.6129392505
1	0.5481041991
2	0.493525337
3	0.4476299145
4	0.4087756054
5	0.3752028491
6	0.3472713516
7	0.3220219149
8	0.3003109668
9	0.2814654583
10	0.2646057798
11	0.2501693283
12	0.2372080657
13	0.2259449675
14	0.2159105639
15	0.207043211
16	0.1991502969
17	0.1922688896
18	0.1860371193
19	0.1804648162
20	0.1760535304
21	0.1717796005
22	0.1679597689
23	0.1646005743
24	0.1613376682
25	0.1586781899
26	0.1560570985
27	0.1538337987
28	0.1518218994
29	0.1499232794
30	0.1482826649
31	0.1469555739
32	0.1456538833
33	0.1446544008
34	0.1436949092
35	0.1430571191
36	0.1420052612
37	0.1410774156
38	0.1403949517
39	0.1398656826
40	0.1393543099
41	0.1386664825
42	0.1380150926
43	0.1376101487
44	0.1371601111
45	0.1366567341
46	0.1362095551
47	0.1358882158
48	0.1354698048
49	0.1351574425
50	0.1349765908
51	0.1345820872
52	0.1344203231
53	0.1341370353
54	0.1338929758
55	0.1336454068
56	0.1335489659
57	0.1333639267
58	0.1332653845
59	0.1331619741
60	0.1329383067
61	0.1327983359
62	0.1326228528
63	0.1324606043
64	0.1323069008
65	0.1320975574
66	0.1319944906
67	0.1317668494
68	0.1316047263
69	0.1315354233
70	0.131332715
71	0.1310967693
72	0.130980153
73	0.1308634193
74	0.1307933016
75	0.1306172944
76	0.130524236
77	0.1304163163
78	0.130319944
79	0.1302346967
80	0.13013529
81	0.129956562
82	0.1299168524
83	0.1298553984
84	0.1298221496
85	0.1297252663
86	0.1295743274
87	0.1294998439
88	0.1294377811
89	0.1293854189
90	0.1292391749
91	0.1291122771
92	0.1290421407
93	0.128970167
94	0.1288382006
95	0.1287273282
96	0.1286469007
97	0.1285663334
98	0.1284793838
99	0.1283892755
100	0.1283356941
101	0.1282747547
102	0.1281993907
103	0.1281637228
104	0.1280970278
105	0.127980715
106	0.1278637419
107	0.1278169979
108	0.1277798794
109	0.127712054
110	0.1276634737
111	0.127604982
112	0.1275306498
113	0.1275009627
114	0.127477067
115	0.1273627082
116	0.1273186203
117	0.127294169
118	0.1272483105
119	0.1272264131
120	0.1271659845
121	0.1271088409
122	0.1270883815
123	0.1270117481
124	0.1269460111
125	0.1269239877
126	0.1268648527
127	0.1267711615
128	0.1267384547
129	0.1266798682
130	0.1266389439
131	0.1266226861
132	0.126539458
133	0.1265191973
134	0.126442688
135	0.1263553752
136	0.1263044532
137	0.1262703633
138	0.1261771732
139	0.1261582475
140	0.1261097198
141	0.1260924429
142	0.1260635151
143	0.1260046255
144	0.1259554296
145	0.1258849697
146	0.1258383052
147	0.1258222493
148	0.1257645225
149	0.1257152388
