iter	Passed	Remaining
0	147	22046
1	149	11076
2	151	7409
3	152	5580
4	154	4478
5	155	3740
6	157	3215
7	158	2818
8	160	2515
9	162	2270
10	164	2072
11	165	1905
12	167	1764
13	169	1644
14	171	1540
15	172	1447
16	174	1367
17	176	1293
18	178	1228
19	179	1167
20	181	1114
21	182	1064
22	184	1018
23	185	975
24	187	937
25	188	901
26	190	868
27	192	836
28	193	807
29	195	780
30	196	756
31	198	732
32	200	710
33	202	689
34	203	668
35	205	649
36	206	631
37	208	614
38	210	597
39	211	581
40	213	567
41	215	553
42	217	540
43	218	526
44	220	514
45	222	502
46	223	490
47	225	479
48	227	468
49	228	457
50	230	447
51	232	437
52	233	427
53	235	418
54	236	408
55	238	399
56	239	391
57	241	382
58	242	374
59	244	366
60	245	358
61	247	351
62	249	344
63	250	336
64	252	329
65	253	322
66	255	316
67	256	309
68	258	302
69	259	296
70	261	290
71	262	284
72	264	279
73	266	273
74	267	267
75	269	262
76	270	256
77	272	251
78	274	246
79	275	241
80	276	235
81	278	230
82	280	226
83	281	221
84	283	216
85	285	212
86	286	207
87	288	203
88	289	198
89	291	194
90	293	190
91	294	185
92	296	181
93	298	177
94	299	173
95	301	169
96	302	165
97	304	161
98	306	157
99	307	153
100	309	149
101	310	146
102	312	142
103	313	138
104	315	135
105	316	131
106	318	127
107	320	124
108	321	120
109	323	117
110	324	114
111	326	110
112	327	107
113	329	104
114	330	100
115	332	97
116	334	94
117	335	91
118	337	87
119	339	84
120	340	81
121	342	78
122	343	75
123	345	72
124	347	69
125	348	66
126	350	63
127	351	60
128	353	57
129	354	54
130	356	51
131	358	48
132	360	46
133	361	43
134	363	40
135	365	37
136	367	34
137	368	32
138	370	29
139	372	26
140	373	23
141	375	21
142	376	18
143	378	15
144	380	13
145	381	10
146	383	7
147	384	5
148	386	2
149	388	0
